SkivID,Titel,Label,SkivTypID,UtgivningsAr,ImageUrlSmall,ImageUrlBig,ImageUrlBigBack
1,"Oh, Julie","Mariann MLPH 1514",3,1982,"/images/diskografi/thumbnails/1982.Oh Julie.Framsida.jpg","/images/diskografi/images/1982.Oh Julie.Framsida.jpg",
2,"Marie Marie","KM MLPCD 1539",3,1983,"/images/diskografi/thumbnails/1983.Marie Marie.Framsida.jpg","/images/diskografi/images/1983.Marie Marie.Framsida.jpg",
3,"Elaine","KM MLPH 1571",1,1984,"/images/diskografi/thumbnails/1984.Elaine.Framsida.jpg","/images/diskografi/images/1984.Elaine.Framsida.jpg",
4,"Fredens Duva","Mariann MLPH 1597",3,1985,"/images/diskografi/thumbnails/1985.Fredens Duva.Framsida.jpg","/images/diskografi/images/1985.Fredens Duva.Framsida.jpg",
5,"Den Lilla Klockan","Mariann MLPH 1620",3,1986,"/images/diskografi/thumbnails/1986.Den lilla klockan.Framsida.jpg","/images/diskografi/images/1986.Den lilla klockan.Framsida.jpg",
6,"Nere På Söder","Mariann MLPH 1642",1,1987,"/images/diskografi/thumbnails/1987.Nere på Söder.Framsida.jpg","/images/diskografi/images/1987.Nere på Söder.Framsida.jpg",
8,"Livets Ljusa Sida","Frituna 0238 1",3,1988,"/images/diskografi/thumbnails/1988.Livets ljusa sida.Framsida.jpg","/images/diskografi/images/1988.Livets ljusa sida.Framsida.jpg",
9,"Mot Nya Mål","Frituna 0244 1",3,1989,"/images/diskografi/thumbnails/1989.Mot nya mål.Framsida.jpg","/images/diskografi/images/1989.Mot nya mål.Framsida.jpg",
10,"Vindarnas Sång","Frituna 0256 1",3,1990,"/images/diskografi/thumbnails/1990.Vindarnas sång.Framsida.jpg","/images/diskografi/images/1990.Vindarnas sång.Framsida.jpg",
11,"Tic Tac Toe","Frituna 0266 1",3,1992,"/images/diskografi/thumbnails/1992.Tic Tac Toe.Framsida.jpg","/images/diskografi/images/1992.Tic Tac Toe.Framsida.jpg",
12,"Tingvalla 2","Frituna 9038 1",3,1989,,,
13,"Tingvalla 3","Frituna 9040 1",3,1990,,,
14,"Min Ängel","Frituna 0283 2",1,1994,"/images/diskografi/thumbnails/1994.Min Ängel.Framsida.jpg","/images/diskografi/images/1994.Min Ängel.Framsida.jpg",
15,"Över En Kopp I Vår Berså","Frituna 0322 2",1,1999,"/images/diskografi/thumbnails/1999.Över en kopp i vår Berså.Framsida.jpg","/images/diskografi/images/1999.Över en kopp i vår Berså.Framsida.jpg",
16,"Det Här Är Bara Början","Team Mariann TMCLP 120",3,1988,"/images/diskografi/thumbnails/1988.Det här är bara början.Framsida.jpg","/images/diskografi/images/1988.Det här är bara början.Framsida.jpg",
17,"Röd Chevrolet","FRITUNA 560469 2",1,2004,"/images/diskografi/thumbnails/2004.Röd Chevrolet.Framsida.jpg","/images/diskografi/images/2004.Röd Chevrolet.Framsida.jpg",
19,"Peppelinos Bar","Team Mariann TMC LP 103",3,1988,"/images/diskografi/thumbnails/1988.Peppelinos Bar.Framsida.jpg","/images/diskografi/images/1988.Peppelinos Bar.Framsida.jpg",
21,"På Begäran","Frituna 0275 1",3,1992,"/images/diskografi/thumbnails/1992.På Begäran.Framsida.jpg","/images/diskografi/images/1992.På Begäran.Framsida.jpg",
22,"Bara Du","Frituna 0294 2",1,1995,"/images/diskografi/thumbnails/1995.Bara du.Framsida.jpg","/images/diskografi/images/1995.Bara du.Framsida.jpg",
23,"SommarDansen","Frituna 8516 2",1,1995,"/images/diskografi/thumbnails/1995.Sommmardansen Vol 1.Framsida.jpg","/images/diskografi/images/1995.Sommmardansen Vol 1.Framsida.jpg",
24,"Dig Ska Jag Älska","Frituna 0301 2",1,1996,"/images/diskografi/thumbnails/1996.Dig vill jag älska.Framsida.jpg","/images/diskografi/images/1996.Dig vill jag älska.Framsida.jpg",
25,"SommarDansen2","Frituna 8521 2",1,1997,"/images/diskografi/thumbnails/1997.Sommardansen Vol 2.Framsida.jpg","/images/diskografi/images/1997.Sommardansen Vol 2.Framsida.jpg",
26,"I Ett Fotoalbum","Frituna 0317 2",1,1998,"/images/diskografi/thumbnails/1998.I ett fotoalbum.Framsida.jpg","/images/diskografi/images/1998.I ett fotoalbum.Framsida.jpg",
27,"SommarDansen3","Frituna 8536 2",1,2000,"/images/diskografi/thumbnails/2000.Sommardansen Vol 3.Framsida.jpg","/images/diskografi/images/2000.Sommardansen Vol 3.Framsida.jpg",
28,"Emelie","Frituna 532417 2",1,2001,"/images/diskografi/thumbnails/2001.Emelie.Framsida.jpg","/images/diskografi/images/2001.Emelie.Framsida.jpg",
29,"I Tomteverkstan","Frituna 536928 2",1,2001,"/images/diskografi/thumbnails/2001.Tomte verkstan.Framsida.jpg","/images/diskografi/images/2001.Tomte verkstan.Framsida.jpg",
30,"Mi Vida Loca","Frituna 540441 2",1,2002,"/images/diskografi/thumbnails/2002.Mi Vida Loca.Framsida.jpg","/images/diskografi/images/2002.Mi Vida Loca.Framsida.jpg",
31,"Det Här Är Bara Början 2003 (EMI)","Frituna 591559 2",1,2003,"/images/diskografi/thumbnails/2003.Det här är bara början.Framsida.jpg","/images/diskografi/images/2003.Det här är bara början.Framsida.jpg",
32,"Vagabond","Warner Music Sweden AB 5051442-2454-2-4",1,2007,"/images/diskografi/thumbnails/2007.Vagabond.Framsida.jpg","/images/diskografi/images/2007.Vagabond.Framsida.jpg","/images/diskografi/images/2007.Vagabond.Baksida.jpg"
33,"PickUp-56","EMI 365222 2",1,2006,"/images/diskografi/thumbnails/2006.Pick Up.Framsida.jpg","/images/diskografi/images/2006.Pick Up.Framsida.jpg",
34,"40 Ljuva År","Warner Music AB 5051011-9106-5-4",1,2006,"/images/diskografi/thumbnails/2006.40 Ljuva År. Framsida.jpg","/images/diskografi/images/2006.40 Ljuva År.Framsida.jpg","/images/diskografi/images/2006.40 Ljuva År.Baksida.jpg"
35,"Tingvalla 1","Frituna 9032 4",5,1988,,,
36,"Tingvalla 4","Frituna 9041 1",3,1991,,,
37,"Vad Tiden Går","Habima HSLP 7402",3,1974,"/images/diskografi/thumbnails/1974.Vad tiden Går.Framsida.jpg","/images/diskografi/images/1974.Vad tiden Går.Framsida.jpg","/images/diskografi/images/1974.Vad tiden Går.Baksida.jpg"
38,"Spelmansminnen","Habima HSLP 7504",3,1975,"/images/diskografi/thumbnails/1975.Spelmans minnen.Framsida.jpg","/images/diskografi/images/1975.Spelmans minnen.Framsida.jpg",
39,"Strandpartajj","Habima HSLP 7608",3,1976,"/images/diskografi/thumbnails/1976.Strand partaj.Framsida.jpg","/images/diskografi/images/1976.Strand partaj.Framsida.jpg",
40,"Sunshine","Habima HSLP 7710",3,1977,"/images/diskografi/thumbnails/1977.Sunhine.Framsida.jpg","/images/diskografi/images/1977.Sunhine.Framsida.jpg",
41,"Darlin","Habima HSLP 920",3,1978,"/images/diskografi/thumbnails/1978.Darlin.Framsida.jpg","/images/diskografi/images/1978.Darlin.Framsida.jpg",
42,"Vid En Liten Fiskehamn","Mariann MLPH 1501",3,1981,"/images/diskografi/thumbnails/1981.Vid en liten fiskehamn.Framsida.jpg","/images/diskografi/images/1981.Vid en liten fiskehamn.Framsida.jpg",
