Id,IdSingel,Titel,Texten,Kompositor,Forlag,IdFull,Ordning,RaURL,Detaljer,WavURL,SkivID,SkivTypID,CreatedDateTime
38,,"Tomma Löften, Tomma Ord","Du var mitt liv, du var min dröm
Du var mitt allt, min kära
Jag ville hålla dig så tätt intill
Och alltid va´ dig nära

Du sa att vi, ja, du och jag
Alltid skulle va´ tillsammans
Men när du lova´mig att jag var allt för dig
Var du redan någon annans

<B>Tomma löften, tomma ord
Inget jag förstod
Du var som förändrad
Som om allting var en lek
Löften blev till svek
Och kvar stod jag med sårat hjärta

Tomma löften, tomma ord
Allting gick så fort
Vi som var bästa vänner
Allt du sagt och allt du gjort
Kvar finns bara
Tomma löften, tomma ord</B>

Jag sitter här och ser tillbaks
På allting som passerat
Ja, tänk hur dum jag var som trodde att
För oss var ödet menat

Men jag trodde ju att kärleken
Hade kommit för att stanna
Men du lämna´ mig här ensam kvar
Och gav ditt hjärta till nån annan

<B>Tomma löften, tomma ord...</B>","Thomas G:son","G:songs",,0,,,,26,,
39,,"I Ett Fotoalbum","Här är bilderna vi tog på vår semester
när vi missa färjan och kom sist i kön
där är jag med metspö på den smala
bryggan när vi hyrde sommarstället
där på ön.

I ett fotoalbum där står tiden stilla
mellan pärmarna är allting som förut
och varenda gång vi bläddrar ibland
minnen kan vi le och säga:
\"Tänk så man såg ut\".'

Där är bröllopskortet det har börjat
gulna men du är ju lika vacker nu som
då där mina gamla älskade föräldrar
dom är borta nu för alltid båda två.

Där är första bilden som jag tog på lillan
när hon låg i vagnen och hon sprattla vilt.
Och där sitter du och jag i sommargräset
vi har picknik på en gammal blommig filt.","Lars E. Carlsson - Hans Sidén","Great Songs/ Multitone AB",,0,,,,26,,
40,,"Vår Kärlek Är Stark","Jag ser ett ljus i dej, i kärleken
Jag vill ej mista dej
på livets långa väg.
Jag hör din varma röst i telefon
och jag bara längtar så
tills vi möts igen.

Vår kärlek är stark
ett osynligt band
som håller oss till varann.
Vår saga blev sann
som genom ett under
när vi två fann varann.

Vår kärlek är stark
jag håller din hand
och leder dej ända fram.
Där jag öppnar min dörr
till kärlekens land
och tar dej i min famn.

I dina ögon finns den kärleken
jag sökt och längtat efter alla dessa år.
Du är mitt liv mitt allt
min framtidstro
och det är bara hos dej
som jag alltid vill bo.","Rose-Marie Stråhle","Golden Songs",,0,,,,15,,
41,,"Någon Älskar Mig","När jag ser tillbaks förstår jag
vad du har gett.
Hur mycket jag saknat i livet
som nu känns så rätt.
Mitt hjärta var tomt utan dig.
När ingenting fanns
som väckte hopp i mig
när jag mötte varje morgon
utan allt du ger.

Vid din sida kan jag känna
som att vakna till ett annat liv.
Samma himmel samma människa
som fått födas till en annan tid.
Med din kärlek i min hand
ser jag livet som den man
som hämtar sin kraft ur dig.
Vid din sida kan jag känna
någon älskar mig.

Med en hunger pålivet
din hand i min.
Kan jag se hur jag funnit
de känslor som saknats för mej.
Nu möter jag den dagen
som min himmel sänt
ser frukten utav allt som kärleken tänt.
Jag ser livet som den man
som alltid ska finnas för dig.","Bob Di Piero-George Teren-Haidi Kroon","Sony ATV",,0,,,,15,,
42,,"Över En Kopp I Vår Berså","Det var en varm, het sommar
då vi möttes du och jag.
Vi satt och prata' hela nätter
vi förstod varann så bra.

Och från den allra första stunden
ja, jag visste redan då
att vägen till ditt hjärta
var vägen jag skulle gå.

Jag vill dela alla dagar
alla månader och år.
Jag vill följa dina vägar
och gå i dina spår.

Och när vi når vårt slut på vägen
och vi är gamla båda två.
Då ska vi sitta ner och minnas'över en kopp i vår berså.

Att möta nån i livet
att dela allting med
och att få åldras samman
det är det största ett liv kan ge.

Och jag har funnit nån att älska
och jag har aldrig älskat så
och vägen till ditt hjärta
är vägen som jag går.","Thomas G:son","G:songs",,0,,,,15,,
43,,"Årets Skiftningar","När ljuset stilla falnat
till höstens första kväll
och solens varma strålar
försvann till kyligt regn.
Då vandrar mina tankar
från sommar sol och hav
till årets första höstregn
där nu stormen gripit tag.

Vem har målat alla färger
varje årstid bjuder upp.
Vem förvandlar sol och värme
till kylig vinterdag.
Alla underbara blommor
troget vaknar upp var vår.
Du vem som gett oss livet
ett tack för att du finns.

När skogens gröna fägring
förvandlat sig till guld
och stormen den har piskat
sista bladet ner till mull.
Naturen då sig bäddar
i ett täcke vitt av snö
för att än en gång til våren
vakna upp när det blir tö.","J.C. Ericsson","Frituna Produktion AB",,0,,,,19,,
44,,"Då släcks ett ljus","Jag vet att Du har lämnat mej
ändå, finns du alltid, i mitt hjärta.
Den kärlek som du en gång gav
lever, i en dröm jag bär, av minnen.

När nattens mörker sänker sej
finns du alltid nära mej, min kära
och i drömmen är du bara min
inne i mitt hjärta finns du kvar.

Kärleken ger djupa sår
när den vänder om och går,
då släcks ett ljus.
Och vägen känns så svår att gå
när man bara tänker på,
den vän man mist.
Kärleken den ger och tar
lämnar alltid någon kvar, i ensamhet.
Jag vet du har en annan vän
men inne i mitt hjärta är du min.

Dom åren som jag fick med dej
finns för alltid inom mej, min kära.
Den längtan som jag alltid har
kommer nog att stanna här, för evigt.

I varje slag mitt hjärta slår
känner jag en saknad av, din kärlek.
Men i drömmen är du bara min
inne i mitt hjärta finns du kvar.","Kent Fingal - Haidi Krohn","Golden Songs",,0,,,,15,,
45,,"Emelie","Om du tar en chans med mig
så ska jag lova dig
att inte göra dig besviken lilla vän.
Det é dig som jag vill ha.
Jag vet att vi kan få det bra.
Att vi ska göra livet
underbart tillsammans.
Jag förstår nog att du tvekar
men sluta upp med dina lekar.
Att jag är kär det måste du förstå.
Jag är beredd om du vill svara
annars får du nog förklara
varför jag ska gå och vänta här på dig

Åh, Emelie åh,åh,Emelie.
Sen den första dan stod det klart för mig
om hur allt ska bli.
Åh,Emelie, åh,åh,Emelie.
Allt kan bli så bra om du svarar ja
mellan oss två Emelie.

Om du bara svara ja
vet jag vi kan få det bra.
Vi skall göra allt vi drömt om lilla vän.
Jag kände jag vill ha dig
sen den första blicken som du gav mig.
Du har allt det där som andra inte har.
Är du osäker på mig
så ska jag försäkra dig.
Låt mig få en chans att visa vem jag är.
Jag är beredd om du vill svara
annas får du nog förklara
varför jag ska gå och vänta här på dig.","Tony Johansson - Peter Linde","Golden Songs",,0,,,,28,,
46,,"När Gässen Återvänder","Dom tog ett extra varv över stan
och vinkade farväl.
Medan nordan blåste helt kallt
sin höstfanfar.
Det känns som det var för längesen nu
nog har vintern varit lång
men nu kan det väl inte dröja så många da´r.

Åh, när gässen återvänder
över Skånes vita stränder.
Mellan Simrishamn och Skanör och Falsterbo.
När gässen återvänder
hem tillbaks från fjärran länder.
Då är våren vår och här ar gott att bo.

Jag vakna´upp tidigt utav solens sken
och en morgonpigg koltrasts sång.
Åh, det kändes som detta
kanske kunde vara da´n.
Så jag smög mig ur sängen
och ut ur vårt hus.
Bara hunden märkte nå´t
och nu står vi här nere
vid havet jycken och jag...

Just när gässen återvänder
över Skånes vita stränder.
Mellan Simrishamn och Skanör och Falsterbo.
När gässen återvänder
hem tillbkas från fjärran länder.
Då är våren vår och här är gott att bo.
Då är våren vår och här är gott att bo.","Michael Saxell","Warner/Chappell Music Scandinavia AB",,0,,,,28,,
47,,"Många År Har Gått","Och jag gick omkring i mörker,
tänkte efter för en stund
att efter regnet
kommer solen fram igen.
Jag mindes den med tårar,
den sista sommaren.

Många år har gått,
sen du lämna mig
åndå kan jag aldrig glömma dig.
Många år har gått, tänker på dig än.
Oh, vad jag önskar
att det blir vi två igen.

Har du sparat några minnen
av de stunder som vi haft.
Oh, vad jag hoppas
du ska ringa mig en dag
sitter här och väntar,
snälla ring så blir jag glad.","Jens Magnusson - Fredrik Andersson","Golden Songs",,0,,,,28,,
48,,"Sju Av Himlens Änglar  - Seven Spanish Angels-","Hon förstod att han var sårad,
in i djupet av sin själ.
När hon tog emot hans gåva,
i ett sista ömt farväl.
Han sa ingen tar min heder,
hellre offrar jag mitt liv,
i nattens sista timma,
just där gryningen tar vid.

Då steg sju av himlens änglar
ur en blodröd soluppgång.
Just när nattens sista timma
tog farväl och vände om.
I ett stänk av guld och silver
och den sista stjärnans sång.
Skred sju av himlens änglar
mer för solens altargång.

Hon satt ensam kvar på marken,
såg när gryningen försvann.
Hennes kinder dom var våta,
av tårarna som rann.
Hårt tryckt i ena handen,
låg hans lyckoamulett
med orden lev för livet,
det är gåvan herren gett.
","Troy Seals - Eddie Setser - Haidi Krohn","Warner/Chappell Music Skandinavia AB",,0,,,,28,,
49,,"Detta Huset Är Vårt Hem - This Old House-","Om du skulle ge dig av,
bara lämna mig
skulle huset där vi bor
inte kännas som ett hem.
Fyra väggar och ett tak,
bli ett skal som lämnas kvar.
Där skulle jag se tillbaks
på den kärlek som vi har.

Detta huset är vårt hem,
för att du finns här för mig.
Jag kan flytta imorgon
för att börja om med dig.
Detta huset är vårt hem,
för du finns här bredvid.
Jag kan flytta imorgon,
bara du finns i mitt liv.

Där du en gång älskat mig,
fanns det inget kvar att se.
Utan kärleken från dig,
har det ingenting att ge.","Johannes Bouwens - Haidi Krohn","Gazell Music AB/BMG Music Publishing Scandinavia A",,0,,,,28,,
50,,"Jag Vill Inte Ha Dig - Katie Wants A Fast One-","Tror du att du gör som du vill med mig.
Leker lite med mig då det passar dig.
Jag kan inte fatta vad det är du gör.
Så håll dig utanför.

Jag vill inte ha dig.
Glöm att du kan få mig.
Jag ska reda upp mitt liv idag.
Ta det lugnt och bara må bra.
Jag vill inte ha dig.
Det där får vara din grej.
Så stick och låt mig va´ifred.
Jag vill inte ha dig.

Andra killar tycker du är skön.
Aldrig att jag ställer mig och väntar i kön.
Tar en sväng på sta´n i min Oldsmobil.
Det är mer min stil.

Lev som du vill,det blir säkert bra.
Slösa ingen tid på en så´n som jag.
Du kan dansa och festa
tills du går på knä.
Vad bryr jag mig om de´.","Rick Carnes - Steve Wariner - Lennart Dahlberg","Misty Music AB",,0,,,,28,,
51,,"Det Kommer En Morgon","Allting kan förändras
och kärleken kan gro.
I allas våra drömmar
går en ljus och gyllene bro.

Låt all förtröstan till hopp och till tro
bli en hyllning. Så mäktig och stor.

Det kommer en morgon som är ljus.
Det kommer en gryning
med vindarnas sus.
Det kommer en morgon
som ger dig behag.
Du får leva ännu en dag.

Vänskapen är viktig
för gammal som för ung.
Så glöm dina bekymmer.
Bara dansa, gläds och sjung.

Låt all din kärlek ge liv på vår jord,
bli en hyllning. Så mäktig och stor.","Per Ekberg - Dan Hansson","Golden Songs",,0,,,,28,,
52,,"Så Länge Jag Lever","Som en sol som lyser över mig
så gör du mig varm.
Och jag känner så hur jag behöver dig
när jag vilar på din arm.

Utanför mitt fönster där faller ett regn
men jag kryper tätt intill.
För du ligger kvar här i min säng
och det är det enda jag vill, för

Jag ska älska dig länge,
älska dig så länge jag lever.
Ja,jag ska följa din stjärna
följa den väg som du går.
Ja,jag ska älska dig länge,
älska dig så länge jag lever.
Ja,jag ska vara dig nära
så länge mitt hjärta det slår.

När det blåser kallt
och du behöver en vän
då vill jag finnas där.
Och när morgonen gryr
och det blir ljust igen
vill jag vara där du är.
För vad som än händer
och vad som än sker
så är du allt för mig.
Vart än vindarna vänder
och vart än du dig beger
så följer jag alltid dig, för","Thomas G:son","G:songs",,0,,,,28,,
53,,"En Man Som Han - A Guy like that-","Varför är det så svårt
att få henne att förstå
att han är en sån där
som bara skrävlar och går på.
Han vill ju bara ha nå´n
som é snygg och smal
och lever upp till dagens skönhetsideal.

Och vem som helst
kan ju se att han saknar stil.
Men han har lurat henne
med sin fina kostym och bil.

Å,å,jag drömmer om henne
om natten i hemlighet
och det tynger mitt hjärta
att veta vad hon inte vet.
Att hon och jag är
som skapta för varann.
Å,å,vad gör hon
med en man som han.
Å,å,vad gör hon
med en man som han.

Och hur kommer de sig
att hon inte ser vad jag ser.
Han bara tar och tar
och aldrig någonsin ger.
Han kommer att bli
hennes fördärv de´e´uppenbart.
Men jag tycks inte kunna
få henne att se klart.","Joakim Anrell","Arrow Music",,0,,,,28,,
54,,"Ge Mej En Ros - Buy me a rose-","Han gör allt för at ge
dom två ett lyckligt liv.
Är sällan fri,men har det ganska bra.
Han kommer sent,
hon vaknar till av den kyss hon får.
Men saknar allt,som inte han förstår.

Ge mej en ros, nån gång ibland.
Tid där vi två, bara finns för varann.
Ring mej från jobbet,
säg att du älskar mej.
Nyckeln till lyckan finns.
Jag bara väntar på dej.

Med årens hjälp växer
hennes ensamhet.
Hon grubblar jämt,
undrar vad hon gör för fel.
Ändå gör hon allt hon kan,
för att tala om
att han är den man
hon drömmer om.

Hon slåss som ett djur,
viljan finns kvar.
Får han förstå att tiden dom har
är en stund på vår jord
för att ge, för att få
Detta är något som hänt oss två.

Så jag ger dej en ros, nån gång ibland
men massor av tid, till en kärleksfull famn.
Försöker förstå, varför du, älskar mej.
Nyckeln till lyckan finns
jag har fått den av dej.

Nyckeln till dej.

Jag håller den hårt i min hand.

Nyckeln till lyckan finns,
jag har fått den av dej.","Eric Hickenlooper-Jim Funk - Haidi Krohn","Bug Music/Warner/Chappell Music Scandinavia AB",,0,,,,28,,
55,,"Allt Jag Har","Tårarna vi grät, dom har försvunnit nu.
Det som drog oss ner,det syns aldrig mer.
Nej, bara glädje så långt ögat kan se.

Jag vill ge dig allt jag har,
det som kommer, allt som finns kvar.
Jag vill ge dig allt det vackra livet har.
Vart i världen jag än far,
vill jag ge dig allt det jag har.
Jag vill ta med dig
och ge dig allt det jag har.

Inget nå´n kan göra, kan förstöra nu.
Glädjen som vi har, den stannar kvar.
Vi vinner vilka vägar vi än tar.","Dan Attlerud - Martin Klaman","Peermusic AB/ Warner/Chappell Music Skandinavia AB",,0,,,,28,,
56,,"Stanna En Stund","Vi möttes i en blick
och samma ögonblick
förstod jag vad som hände.
När musiken tonat ut
blir inget som förut.
för någon av oss två.
Som en främling utan namn
håller du min hand
och följer med i dansen.
Mej jag vet att det är du
allting finns här nu
i varje steg vi tar.

Stanna en sekund
öppna ditt hjärta för mig.
Låt varje sekund
bli tid som jag delar med dig.
Stanna en stund
Jag vet att du känner så som jag.
Låt sekund för sekund gå
mot en morgondag.

Ditt huvud mot min kind
din kropp som rör vid min,
lyckan är så nära.
Jag hör mitt hjärtas slag
kan se en annan dag
som vaknar för oss två.
Så tätt två människor kan
dansa med varandra,
håller vi varandra.
Så följsamt och så lätt.
Allting känns så rätt
när du är nära mig.

Låt sekund för sekund gå
mot en morgondag.","Kent Fingal - Haidi Krohn","Golden Songs",,0,,,,28,,
57,,"Tar Du Mej Eller Ej","Och jag tänker mej tillbaka
på den gången jag såg dej.
Du stod där vacker med ett leende som få
och jag önskar att det blev vi två.

Tar du mej eller ej.
Kanske tar du någon annan.
Det e´det som är livets lotter.
Snälla säg du tar mej.
Vi kan leva här tillsammans,
Och det bultar djupt här inuti.

Finns en känsla i mitt hjärta
om att finna kärleken.
Du är den kvinna som jag väntat på.
Vad jag längtat att få känna så.
","Fredrik Andersson- Jens Magnusson","Golden Songs",,0,,,,28,,
