id,ort,namn,stallet_www,anteckningar,interninfo,gig_date,offentlig,p,anv_namn,modified,nilsson_co,blocked,ontour_category_id,evenemang,is_gig
1,"Eringsboda","Brunnen",,,,"2008-10-11 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
2,"Oxie","Törringelund",,,,"2008-24-11 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
3,"Falköping","Folkets park",,,,"2008-15-12 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
4,"Tomelilla","Tingvalla",,,,"2008-01-12 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
5,"GOD JUL","&",,,,"2008-24-12 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
6,"GOTT NYTT ÅR",".",,,,"2008-31-12 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
7,"Munka Ljungby","Ekebo",,,,"2008-02-02 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
8,"Örebro ","Brunnsparken",,,,"2008-16-02 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
9,"Motala","Mariebergsparken",,,,"2008-25-04 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
10,"Sunne","Kolsnäsuddens F.P",,,,"2008-24-05 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
11,"Lönsboda","Granada",,,,"2008-03-05 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
12,"Kivik","Kulla Rörum",,,,"2008-06-07 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
13,"Uddevalla","Lane loge",,,,"2008-09-07 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
14,"Hedesunda","Ön",,,,"2008-15-07 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
15,"Värestorp","Folkets Park",,,,"2008-28-06 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
16,"-27 SEMESTER",".",,,,"2008-10-08 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
17,"Tidan","Olstorp",,,,"2008-26-07 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
18,"Munka Ljunby","Ekebofestivalen",,,,"2008-05-07 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
19,"Urshult","Kärrasand",,,,"2008-09-08 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
20,"Lönsboda","Granada",,,,"2008-06-10 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
21,"-25","Semester",,,,"2008-07-10 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
22,"Munka-Ljungby","Ekebo",,,,"2008-17-11 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
23,"Kalmar","Sandra",,,,"2008-23-11 00:00:00","-","0","Monica","2008-01-03 12:06:06",,,0,,1
