id,ort,namn,dag,manad,AnvNamn,modified,datum
546,"Eringsboda","Brunnen",10,11,"Monica","2012-04-02 09:43:20","2012-11-10 00:00:00"
552,"Oxie","Törringelund",24,11,"Monica","2012-04-02 09:44:07","2012-11-24 00:00:00"
608,"Sunne","Kolsnäsuddens F.P",25,5,"Monica","2012-10-31 13:05:34","2013-05-25 00:00:00"
619,"Lönsboda","Granada",4,5,"Monica","2012-10-31 13:04:22","2013-05-04 00:00:00"
689,"Kalmar","Sandra",23,11,"Monica","2012-04-02 09:43:52","2012-11-23 00:00:00"
724,"Sandhem","Sägnernas Hus",24,5,"Monica","2012-10-31 13:05:24","2013-05-24 00:00:00"
774,"Torsby","Stjärnehallen",27,10,"Monica","2012-04-02 09:42:10","2012-10-27 00:00:00"
862,"-11 SEMESTER",".",1,4,"Monica","2012-10-02 11:36:36","2013-04-01 00:00:00"
941,"Lund","Björka Loge",7,9,"Monica","2013-03-07 15:11:24","2013-09-07 00:00:00"
966,"Helsingborg","Sundspärlan",27,9,"Monica","2013-02-27 15:57:59","2013-09-27 00:00:00"
992,"-26","Semester",2,6,"Monica","2013-01-31 11:11:02","2013-06-02 00:00:00"
1017,"Norrköping","Borgen",6,9,"Monica","2013-03-07 15:11:14","2013-09-06 00:00:00"
1031,"-18","Semester",1,10,"Monica","2012-03-14 13:21:34","2012-10-01 00:00:00"
1060,"Tanumstrand","Tanum Hotell & Konferens",28,3,"Monica","2012-10-04 11:25:39","2013-03-28 00:00:00"
1061,"Charlottenberg","Ishallen",30,3,"Monica","2012-11-26 15:33:48","2013-03-30 00:00:00"
1121,"Oxie","Törringelund",16,3,"Monica","2012-10-02 11:35:44","2013-03-16 00:00:00"
1166,"Sälen","Lindvallen",26,10,"Monica","2012-04-02 09:41:59","2012-10-26 00:00:00"
1167,"Östersund","Folkets Hus",2,11,"Monica","2012-04-02 09:42:47","2012-11-02 00:00:00"
1168,"Örnsköldsvik","Folkets Park",3,11,"Monica","2012-04-02 09:42:55","2012-11-03 00:00:00"
1242,"Munka-Ljungby","Ekebo",9,2,"Monica","2012-10-11 10:02:12","2013-02-09 00:00:00"
1243,"Tranås","Folkets Park",1,2,"Monica","2012-10-02 11:28:27","2013-02-01 00:00:00"
1255,"Uddevalla","Lane Loge",8,5,"Monica","2012-10-31 13:04:53","2013-05-08 00:00:00"
1264,"Kalmar","Sandra",13,4,"Monica","2012-10-02 11:37:02","2013-04-13 00:00:00"
1273,"Norrköping","Borgen",3,5,"Monica","2012-10-31 13:04:39","2013-05-03 00:00:00"
1279,"Seljord","Festivalen",4,7,"Monica","2013-01-31 15:02:40","2013-07-04 00:00:00"
1280,"Munka-Ljungby","Ekebofestivalen",5,7,"Monica","2013-01-31 15:02:50","2013-07-05 00:00:00"
1282,"Kulla Rörum","Kulla Festplats",7,7,"Monica","2013-01-31 15:03:51","2013-07-07 00:00:00"
1283,"Sel","Dansfestivalen",11,7,"Monica","2013-01-31 15:04:13","2013-07-11 00:00:00"
1284,"Skotterud","Parken",12,7,"Monica","2013-01-31 15:04:43","2013-07-12 00:00:00"
1286,"Hedesunda","Festplatsen Ön",16,7,"Monica","2013-01-31 15:05:32","2013-07-16 00:00:00"
1287,"Malung","Dansbandsveckan",17,7,"Monica","2013-01-31 15:05:40","2013-07-17 00:00:00"
1288,"Sunne","Frykdalsdansen",24,7,"Monica","2013-01-31 15:06:10","2013-07-24 00:00:00"
1289,"Evertsberg","Boggberget",25,7,"Monica","2013-01-31 15:06:19","2013-07-25 00:00:00"
1290,"Värestorp","FP",27,7,"Monica","2013-01-31 15:06:32","2013-07-27 00:00:00"
1291,"Frillesås","Stättareds Gård",28,7,"Monica","2013-01-31 15:06:40","2013-07-28 00:00:00"
1317,"Verdal","Idrettshallen",21,9,"Monica","2012-06-12 13:33:55","2012-09-21 00:00:00"
1221,"-22","Semester",14,8,"Monica","2013-03-07 15:11:01","2013-08-14 00:00:00"
1230,"Tranås","Folkets Park",9,11,"Monica","2012-04-02 09:43:08","2012-11-09 00:00:00"
1244,"Östersund","Folkets Hus",8,3,"Monica","2012-12-04 10:36:26","2013-03-08 00:00:00"
1245,"Hitra","Hitrahallen",9,3,"Monica","2012-11-23 10:39:27","2013-03-09 00:00:00"
1246,"Eringsboda","Brunnen",2,2,"Monica","2012-10-11 10:02:23","2013-02-02 00:00:00"
1249,"Bollnäs","Tuppz",26,4,"Monica","2012-10-31 13:03:53","2013-04-26 00:00:00"
1250,"Åre","Holiday Club",27,4,"Monica","2012-10-31 13:04:04","2013-04-27 00:00:00"
1252,"Lycksele","Hotel Lappland",23,3,"Monica","2012-10-02 11:35:31","2013-03-23 00:00:00"
1258,"Sira","Lendemoen Idrettsplass",1,6,"Monica","2012-10-31 13:06:21","2013-06-01 00:00:00"
1265,"Helsingborg","Sundspärlan",12,4,"Monica","2012-10-02 11:36:54","2013-04-12 00:00:00"
